Wikipedia  Names,Position,Joined Congress,ODU-WSDL,CSPAN,TweetCongress,Github,REMARK
Grace Napolitano ,Rep,3-Jan-99,GraceNapolitano,GraceNapolitano,GraceNapolitano,GraceNapolitano,
Greg Gianforte ,Rep,21-Jun-17,GregForMontana,,,,GregForMontana
Greg Pence ,Rep,3-Jan-19,RepGregPence,RepGregPence,RepGregPence,RepGregPence,
Greg Stanton ,Rep,3-Jan-19,RepGregStanton,RepGregStanton,RepGregStanton,RepGregStanton,
Greg Steube ,Rep,3-Jan-19,RepGregSteube,RepGregSteube,RepGregSteube,RepGregSteube,
Greg Walden ,Rep,3-Jan-99,RepGregWalden,RepGregWalden,RepGregWalden,RepGregWalden,
Gregorio Sablan ,Rep,3-Jan-09,Kilili_Sablan,,Kilili_Sablan,Kilili_Sablan,
Gregory Meeks ,Rep,3-Feb-98,RepGregoryMeeks,RepGregoryMeeks,RepGregoryMeeks,RepGregoryMeeks,
Gus Bilirakis ,Rep,3-Jan-07,RepGusBilirakis,RepGusBilirakis,RepGusBilirakis,RepGusBilirakis,
Guy Reschenthaler ,Rep,3-Jan-19,GReschenthaler,GReschenthaler,GReschenthaler,GReschenthaler,
Gwen Moore ,Rep,3-Jan-05,RepGwenMoore,RepGwenMoore,RepGwenMoore,RepGwenMoore,
Hakeem Jeffries ,Rep,3-Jan-19,RepJeffries,RepJeffries,RepJeffries,RepJeffries,
Hal Rogers ,Rep,3-Jan-81,RepHalRogers,RepHalRogers,RepHalRogers,RepHalRogers,
Haley Stevens ,Rep,3-Jan-19,RepHaleyStevens,RepHaleyStevens,RepHaleyStevens,RepHaleyStevens,
Hank Johnson ,Rep,3-Jan-07,RepHankJohnson,RepHankJohnson,RepHankJohnson,RepHankJohnson,
Harley Rouda ,Rep,3-Jan-19,RepHarley,RepHarley,RepHarley,RepHarley,
Henry Cuellar ,Rep,3-Jan-05,RepCuellar,RepCuellar,RepCuellar,RepCuellar,
Ilhan Omar ,Rep,3-Jan-19,Ilhan,Ilhan,Ilhan,Ilhan,
Jack Bergman ,Rep,3-Jan-19,RepJackBergman,RepJackBergman,RepJackBergman,RepJackBergman,
Jackie Speier ,Rep,3-Jan-13,RepSpeier,RepSpeier,RepSpeier,RepSpeier,
Jackie Walorski ,Rep,3-Jan-13,RepWalorski,RepWalorski,RepWalorski,RepWalorski,
Jahana Hayes ,Rep,3-Jan-19,RepJahanaHayes,RepJahanaHayes,RepJahanaHayes,RepJahanaHayes,
Jaime Herrera Beutler,Rep,3-Jan-11,HerreraBeutler,HerreraBeutler,HerreraBeutler,HerreraBeutler,
James Comer ,Rep,8-Nov-16,KYComer,KYComer,,,(Name is present with no Twitter handle in Github)
James Langevin ,Rep,3-Jan-01,JimLangevin,JimLangevin,JimLangevin,JimLangevin,
Jamie Raskin ,Rep,3-Jan-17,repraskin,repraskin,repraskin,repraskin,
Jan Schakowsky ,Rep,3-Jan-99,JanSchakowsky,JanSchakowsky,JanSchakowsky,JanSchakowsky,
Jared Golden ,Rep,3-Jan-19,repgolden,repgolden,repgolden,repgolden,
Jared Huffman ,Rep,3-Jan-13,RepHuffman,RepHuffman,RepHuffman,RepHuffman,
Jason Crow ,Rep,3-Jan-19,RepJasonCrow,RepJasonCrow,RepJasonCrow,RepJasonCrow,
Jason Smith ,Rep,3-Jan-17,RepJasonSmith,RepJasonSmith,RepJasonSmith,RepJasonSmith,
Jeff Duncan ,Rep,3-Jan-11,RepJeffDuncan,RepJeffDuncan,RepJeffDuncan,RepJeffDuncan,
Jeff Fortenberry ,Rep,3-Jan-05,JeffFortenberry,JeffFortenberry,JeffFortenberry,JeffFortenberry,
Jeff Van Drew,Rep,3-Jan-19,CongressmanJVD,CongressmanJVD,CongressmanJVD,CongressmanJVD,
Jennifer Wexton ,Rep,3-Jan-19,RepWexton,RepWexton,RepWexton,RepWexton,
Jenniffer González ,Rep,3-Jan-17,RepJenniffer,RepJenniffer,RepJenniffer,RepJenniffer,
Jerrold Nadler ,Rep,3-Nov-92,RepJerryNadler,RepJerryNadler,RepJerryNadler,RepJerryNadler,
Jerry McNerney ,Rep,3-Jan-07,RepMcNerney,RepMcNerney,RepMcNerney,RepMcNerney,
